survey_id,variable,category,frequency,share,weighted
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,22,2498744.0,0.019074130803607828,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,23,1920249.0,0.014658196518529761,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,24,2924773.0,0.022326217800967395,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,25,3135869.0,0.023937616454098087,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,26,3032476.0,0.023148367292848505,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,27,2567516.0,0.019599100998083818,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,28,3597414.0,0.027460814389441274,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,29,1449354.0,0.011063625476132096,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,3,906940.0,0.006923115049410457,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,30,8068202.0,0.06158851819071112,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,31,2432221.0,0.01856632832226184,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,32,1703991.0,0.013007393803515089,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,4,918817.0,0.007013777979088107,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,5,3582441.0,0.027346518182818098,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,6,745394.0,0.005689955696231568,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,7,5900473.0,0.04504118621401644,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,8,3991333.0,0.030467790106852258,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,ent,9,9319955.0,0.07114375892597993,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_l,1.0,12181663.0,0.09298857084498041,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_l,101.0,2285633.0,0.01744735067339534,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_l,11.0,2137662.0,0.01631781591147469,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_l,16.0,1951383.0,0.014895857514790091,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_l,2.0,18096344.0,0.13813821364777013,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_l,21.0,1963450.0,0.014987970807070988,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_l,251.0,1767679.0,0.01349355534812317,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_l,31.0,2140441.0,0.01633902937291901,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_l,501.0,6310441.0,0.0481706717704774,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_l,51.0,2475610.0,0.01889753770643154,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_l,6.0,4624970.0,0.035304650153341874,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_l,<MISSING>,75066447.0,0.5730187762492254,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_u,1.0,12181663.0,0.09298857084498041,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_u,10.0,4624970.0,0.035304650153341874,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_u,100.0,2475610.0,0.01889753770643154,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_u,15.0,2137662.0,0.01631781591147469,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_u,20.0,1951383.0,0.014895857514790091,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_u,250.0,2285633.0,0.01744735067339534,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_u,30.0,1963450.0,0.014987970807070988,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_u,5.0,18096344.0,0.13813821364777013,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_u,50.0,2140441.0,0.01633902937291901,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_u,500.0,1767679.0,0.01349355534812317,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,firmsize_u,<MISSING>,81376888.0,0.6211894480197028,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,h_mud,0,127338280.0,0.9720351540719812,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,h_mud,1,3310842.0,0.02527327064240216,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,h_mud,2,326978.0,0.002495982438337853,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,h_mud,3,22431.0,0.0001712267555442763,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,h_mud,4,3192.0,2.4366091734533903e-05,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,hsize,1.0,5385610.0,0.041110985998252865,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,hsize,10.0,447254.0,0.0034141077671169255,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,hsize,11.0,216305.0,0.0016511614889217908,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,hsize,12.0,141987.0,0.001083855973405785,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,hsize,13.0,63566.0,0.00048523025914704954,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,hsize,14.0,20826.0,0.0001589750082905398,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,hsize,15.0,3584.0,2.73584187896521e-05,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,hsize,16.0,9331.0,7.122807079415284e-05,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,hsize,17.0,899.0,6.862505159569542e-06,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,hsize,19.0,1060.0,8.091496628635945e-06,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,hsize,2.0,16831928.0,0.12848631006173866,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,hsize,21.0,1078.0,8.228899401575046e-06,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,hsize,3.0,23387017.0,0.17852449925410524,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,hsize,4.0,29956952.0,0.22867601520019704,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,hsize,5.0,20043442.0,0.15300136166911332,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,hsize,6.0,9294798.0,0.07095172328382277,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,hsize,7.0,4013804.0,0.030639322201891955,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,hsize,8.0,1751380.0,0.013369137137226813,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,hsize,9.0,771580.0,0.005889846196908418,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,hsize,<MISSING>,18659322.0,0.1424356991090873,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat10,1.0,6336412.0,0.048368921071366366,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat10,10.0,9586987.0,0.07318214432950626,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat10,2.0,181231.0,0.001383424552362567,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat10,3.0,9656572.0,0.07371332054922666,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat10,4.0,436783.0,0.0033341775207032963,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat10,5.0,4718029.0,0.03601501485594964,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat10,6.0,18977976.0,0.14486814039842819,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat10,7.0,3484597.0,0.02659962724307069,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat10,8.0,4538767.0,0.034646620640249134,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat10,9.0,2239861.0,0.01709795068878598,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat10,<MISSING>,70844508.0,0.5407906581503512,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat10_2,1.0,747406.0,0.0057053142728512056,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat10_2,10.0,632761.0,0.0048301731115399146,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat10_2,2.0,2114.0,1.6137192332958857e-05,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat10_2,3.0,266263.0,0.00203251525172688,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat10_2,4.0,11940.0,9.114383938293697e-05,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat10_2,5.0,174034.0,0.0013284863436490832,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat10_2,6.0,960684.0,0.007333369195457071,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat10_2,7.0,118711.0,0.0009061789210207563,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat10_2,8.0,180977.0,0.0013814856465666485,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat10_2,9.0,23839.0,0.00018197470578306822,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat10_2,<MISSING>,127882994.0,0.9761932215196895,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat4,1.0,6336412.0,0.048368921071366366,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat4,2.0,14992615.0,0.11444593747824218,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat4,3.0,29241201.0,0.223212338970534,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,industrycat4,4.0,9586987.0,0.07318214432950626,yes
