survey_id,variable,metric,value,weighted
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,missing_share_w,0.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,zero_share_w,0.21349826826323498,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,mean_w,0.786501731736765,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,sd_w,0.4097764728627484,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,p01_w,0.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,p05_w,0.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,p10_w,0.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,p25_w,1.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,p50_w,1.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,p75_w,1.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,p90_w,1.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,p95_w,1.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,urban,p99_w,1.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,missing_share,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,non_missing_n,408099.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,zero_share,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,mean,16.189326609474662,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,sd,9.248617444403266,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,max,32.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,min,1.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,num,408099.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,skewness,0.07734279855351295,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,subnatid1,kurtosis,-1.216190556030341,no
